id,class_key,name_ko,priority,target_images,available_images,aihub_names,match_scores,status,food_code,notes
86,latte,카페라떼,P0,1000,2544,아이스카페라떼|연유라떼|흑당라떼|오곡라떼|녹차라떼|말차라떼|카페라떼(HOT)|고구마라떼|달고나라떼|바닐라라떼|토피넛라떼|죠리퐁라떼|민트초코라떼|콜드브루라떼|아이스초코라떼|아이스돌체라떼|아이스모카라떼|아이스코코넛라떼|아이스시나몬라떼|아이스토피넛라떼|초코라떼(HOT)|돌체라떼(HOT)|모카라떼(HOT)|아이스초코모카라떼|아이스티라미수라떼|아이스헤이즐넛라떼|코코넛라떼(HOT)|시나몬라떼(HOT)|초코모카라떼(HOT)|티라미수라떼(HOT)|헤이즐넛라떼(HOT),아이스카페라떼:0.91|연유라떼:0.90|흑당라떼:0.90|오곡라떼:0.90|녹차라떼:0.90|말차라떼:0.90|카페라떼(HOT):0.89|고구마라떼:0.89|달고나라떼:0.89|바닐라라떼:0.89|토피넛라떼:0.89|죠리퐁라떼:0.89|민트초코라떼:0.88|콜드브루라떼:0.88|아이스초코라떼:0.88|아이스돌체라떼:0.88|아이스모카라떼:0.88|아이스코코넛라떼:0.88|아이스시나몬라떼:0.88|아이스토피넛라떼:0.88|초코라떼(HOT):0.87|돌체라떼(HOT):0.87|모카라떼(HOT):0.87|아이스초코모카라떼:0.87|아이스티라미수라떼:0.87|아이스헤이즐넛라떼:0.87|코코넛라떼(HOT):0.87|시나몬라떼(HOT):0.87|초코모카라떼(HOT):0.87|티라미수라떼(HOT):0.87|헤이즐넛라떼(HOT):0.87,ok,,
87,juice,과일주스,P1,1000,411,사과주스|망고주스|키위주스|자몽주스|토마토주스,사과주스:1.00|망고주스:0.90|키위주스:0.90|자몽주스:0.90|토마토주스:0.89,low,,
88,soda,탄산음료,P1,1000,0,,,empty,,
89,ion_drink,이온음료,P2,800,0,,,empty,,
90,tofu,두부요리,P0,1000,920,건두부볶음|두부두루치기|두부버섯전골,건두부볶음:0.89|두부두루치기:0.88|두부버섯전골:0.88,ok,,
91,jeon_kimchi,김치전,P0,1000,0,,,empty,,
92,jeon_pajeon,파전/해물파전,P0,1000,0,,,empty,,
93,haemul_bokkeum,주꾸미/낙지볶음,P1,1000,1510,낙지죽|산낙지회|낙지호롱|낙지전골|낙지탕탕이|주꾸미삽겹살볶음,낙지죽:0.92|산낙지회:0.90|낙지호롱:0.90|낙지전골:0.90|낙지탕탕이:0.89|주꾸미삽겹살볶음:0.89,ok,,
94,raw_fish,회,P1,1000,1880,물회|막회|광어회|오징어회|소라숙회|육회초밥,물회:0.90|막회:0.90|광어회:0.88|오징어회:0.88|소라숙회:0.88|육회초밥:0.88,ok,,
95,gimbap_mayo,참치마요김밥,P1,1000,240,참치마요컵밥,참치마요컵밥:0.92,low,,
96,chicken_gangjeong,닭강정,P1,1000,270,떡강정,떡강정:0.92,low,,
97,jjigae_cheonggukjang,청국장찌개,P1,1000,0,,,empty,,
98,bibim_naengmyeon,비빔냉면,P1,1000,0,,,empty,,
99,fruit_cup,컵과일,P2,800,0,,,empty,,
